"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4714","Verify Login Test with JSON Data:Valid login @datadriven","chromium","2026-04-11","passed","2026-04-11","","LoginDDT.spec.ts","",""
"","3927","Verify Login Test with CSV Data:Invalid login @datadriven","chromium","2026-04-11","passed","2026-04-11","","LoginDDT.spec.ts","",""
"","3918","Verify Login Test with CSV Data:Valid login @datadriven","chromium","2026-04-11","passed","2026-04-11","","LoginDDT.spec.ts","",""
"","7227","Verify Account Registration","chromium","2026-04-01","passed","2026-04-01","","AccountRegistration.spec.ts","",""
"","4720","Verify Login Test with JSON Data:Invalid login @datadriven","chromium","2026-04-11","passed","2026-04-11","","LoginDDT.spec.ts","",""
"","10764","Verify Login Test with JSON Data:valid login @datadriven","chromium","2026-04-11","passed","2026-04-11","","LoginDDT.spec.ts","",""
"","11250","Verify Account Registration @master,@sanity,@regression","chromium","2026-04-15","passed","2026-04-15","","AccountRegistration.spec.ts","",""
"","9271","Verify Login Scenario","chromium","2026-04-15","passed","2026-04-15","","Login.spec.ts","",""
"","6877","Verify the Logout functionality","chromium","2026-04-15","passed","2026-04-15","","Logout.spec.ts","",""
